id,name,some_capitalized,atleast_one_capitalized,first_letter_capitalized,has_suffix_salutation,start_position,distance_to_period,distance_to_closest_keyword,frequency,label
618853fd-5756-424b-b089-0a592a4765c9,Bill,0,1,1,0,0,356,1,2,0
d6fb2f0a-adf8-4be4-84f7-5b1999342811,Clinton,0,1,1,0,5,356,1,8,0
c9a9ea1b-55b2-40e1-af91-bdadf99b968b,wants,0,0,0,0,13,356,1,1,0
fdf0e667-fa40-44c2-ba09-10d55c15ec78,weigh,0,0,0,0,22,356,1,3,0
8954a622-1b38-472a-9d4c-a09dc082534a,whether,0,0,0,0,34,356,1,2,0
3741aa2b-2086-4fb0-bb54-4dc3535fad12,release,0,0,0,0,45,356,1,1,0
d60a1777-6a90-446c-bf95-c5d47246f955,sealed,0,0,0,0,53,356,1,3,0
824c7ff3-48c5-4f20-9df8-1313f6fb3667,grand,0,0,0,0,65,356,1,6,0
8a9ed4d1-d845-4883-b3ef-bf91fb10d80e,jury,0,0,0,0,71,356,1,6,0
00f1c06a-5e90-4a71-9306-dcc97bdf15a7,documents,0,0,0,0,76,356,1,4,0
f79d6d65-c271-41af-9da7-9c177b8b7c3d,Updated,0,1,1,0,86,356,1,1,0
acb14895-85d9-4af8-a8bc-8c8850044a17,PM,0,1,1,0,99,356,1,1,0
4f6e8781-25a8-4309-bf15-26baa705a0e3,Fri,0,1,1,0,106,356,1,1,0
1a2117b2-a72e-4045-96a3-1187b11c19a9,February,0,1,1,0,110,356,1,1,0
0f5f9f9d-25d6-49b0-860c-fb1689307fcc,Washington,0,1,1,0,128,356,1,2,0
85cd285e-930c-4323-944a-be6e5e7a17ee,Former,0,1,1,0,147,356,1,1,0
bcb622ed-059c-40cd-bd83-f9d31398dc2f,President,0,1,1,0,154,356,1,2,0
307102e7-700f-4190-a656-a6fbad505405,Bill,0,1,1,0,164,356,1,2,0
478b6e23-f34a-4bc7-bb3d-973617a92b4e,Clinton,0,1,1,0,169,356,1,8,0
d4105f94-313a-4568-ae27-2b7e52149434,told,0,0,0,0,177,356,1,1,0
f390b513-99a9-49b1-b5a1-f9f1a50e0ada,federal,0,0,0,0,184,356,1,3,0
8dd66c81-6a19-4dbe-bc0a-98815f66f848,court,0,0,0,0,192,356,1,4,0
dedb09f5-4662-4495-b927-d66760b4ee04,Friday,0,1,1,0,201,356,1,2,0
ae31f098-2424-4b17-809d-061ea91b0c57,like,0,0,0,0,218,356,1,2,0
278a92c5-868a-4440-a0d8-3f769aedbb00,weigh,0,0,0,0,226,356,1,3,0
deb8dd43-fe76-4eed-95bf-a1420d185515,whether,0,0,0,0,238,356,1,2,0
c67247be-78ed-475e-a77f-10c9cf20d6c0,sealed,0,0,0,0,246,356,1,3,0
95cd025d-58ed-4732-96ce-cc853992b71a,documents,0,0,0,0,253,1464,1,4,0
32876e3d-af8b-4cb6-9612-8144905096d7,grand,0,0,0,0,277,2168,1,6,0
7f257e9f-d04c-4dbd-bdda-e2d4413f8637,jury,0,0,0,0,283,2168,1,6,0
a7a9fdd2-3945-48ac-9b5a-a041b8c27bba,investigation,0,0,0,0,288,2168,1,4,0
4b74ac11-60d7-4636-b8d7-7550fb00b2a7,released,0,0,0,0,312,2168,1,1,0
e2a9756c-6018-4901-9fd7-14809bbccafa,public.,0,0,0,0,328,2168,1,1,0
8bafb4f6-faeb-4d2c-890e-6abbe2235f1d,The,0,1,1,0,337,2168,1,1,0
a2c3a8a5-a4f0-4279-af4e-f0c9efcaf437,Clinton,0,1,1,0,355,2168,1,8,0
ef35d2e4-8986-40d1-baa5-bdddcd77cb1b,longtime,0,0,0,0,365,2168,1,1,0
2017a72d-03ce-4368-8ee3-b3833d3e7630,criminal,0,0,0,0,374,2168,2108,1,0
49752dab-ab4b-4a52-b26f-c41bacdd048d,defense,0,0,0,0,383,2168,1,1,0
93e8d58b-23df-45b9-a326-63245ba821ee,lawyer,0,0,0,0,391,2168,1,2,0
730ee7ee-e65b-4872-beda-54a196121bc4,David,0,1,1,0,398,2168,1,1,0
13dd9f22-cd73-4267-b31c-93b63de7118e,Kendall,0,1,1,0,404,2168,1,1,0
49f2aeee-0374-4de5-9860-ad126c907cf6,comes,0,0,0,0,413,2168,1,1,0
4c9525e4-b75e-4fd2-9183-d7ac18ad34d2,response,0,0,0,0,422,2168,1,1,0
634061f9-d449-4462-94e8-b0e70f6ba75c,CNN,1,1,1,0,434,2168,1,4,0
6744a243-3e32-4301-8818-d7c3d5633d48,asking,0,0,0,0,438,2168,1,1,0
0b11a8ab-5e8d-4be0-a602-16073b456384,court,0,0,0,0,449,2168,1,4,0
c2a5ba33-9fea-49e6-85f0-7cb4aeb16586,unseal,0,0,0,0,458,2168,1,2,0
321f976c-ab55-4e78-bd5e-d2ee84d1c0ae,records,0,0,0,0,465,2168,1,3,0
233eea09-ebe5-4810-9385-61bdd9d4d7f7,subpoena,0,0,0,0,476,2168,1,2,0
8cc16e5d-0ff8-4bd0-a59c-55bdb07a2377,fights,0,0,0,0,485,2168,1,1,0
f1fddab0-bc7b-46cd-817a-03fad6884fdc,investigation,0,0,0,0,502,2168,1,4,0
7efa8aa5-63e5-42ed-bed8-509a9825d159,relationship,0,0,0,0,525,2168,1,1,0
6e7ecb02-9071-4f80-b105-61ec8f275a22,Monica,0,1,1,0,543,2168,1,1,0
08bd9479-45b9-470c-b2fa-542b9aa601c7,Lewinsky,0,1,1,0,550,2168,1,1,0
64753f33-6d65-46ec-ad70-2118e8c9df35,.,0,0,0,0,558,2168,1,3,0
7ef973da-2d33-4491-8ccb-4720f6af1be7,CNN,1,1,1,0,561,2168,1,4,0
7bd2d78a-a17c-4477-b168-4e299d9afa6e,previously,0,0,0,0,565,2168,1,1,0
2b26843d-25f2-4862-baf3-943cc83803e4,reported,0,0,0,0,576,2168,1,1,0
857cc708-14be-4197-8f7b-be89ff151619,federal,0,0,0,0,592,2168,1,3,0
02ce283c-ed1f-4f22-82a4-34a40aabdf6c,court,0,0,0,0,600,2168,1,4,0
3e90b27c-bde9-4d8a-9aaf-da9a6f5f8412,Washington,0,1,1,0,609,2168,1,2,0
34e8b32e-2539-45a2-8711-88945d9fb080,unseal,0,0,0,0,626,2168,1,2,0
eae73d37-b739-49ec-9871-8906fc239d3c,documents,0,0,0,0,633,2168,1,4,0
a08fbac9-1d56-4071-8c80-39fdf76c77dd,stayed,0,0,0,0,653,2168,1,1,0
729f5b9e-0318-4143-b641-6e527ddc2aa8,secret,0,0,0,0,660,2168,1,1,0
ea7955f1-042b-4f31-987e-127c8a977ffd,two,0,0,0,0,671,2168,1,1,0
638a6494-6de6-43c7-a9e3-fba9b3a4529d,decades,0,0,0,0,675,2168,1,2,0
b130b114-c8e7-4f82-82ca-0ecea1eb0ee2,independent,0,0,0,0,688,2168,1,1,0
2a0383a0-1050-40e1-b8ca-c951773223c9,counsel,0,0,0,0,700,2168,1,2,0
117a6a04-b0fb-404d-b17f-cb793dfb014b,Ken,0,1,1,0,708,2168,1,1,0
9aa8ccd3-4383-4c17-8d0a-9aa3d5d3645e,Starr,0,1,1,0,712,2168,1,2,0
3ac65319-aa30-4f51-b598-c9d02b638d20,investigation,0,0,0,0,720,2168,1,4,0
4036774d-5d71-4750-b3ce-5c6a555bb6fc,Clinton,0,1,1,0,737,2168,1,8,0
84b65bc0-3f2f-4436-a6dd-cddbe08afbe8,following,0,0,0,0,746,2168,1,1,0
ff89d2a1-c4eb-40ac-9f9e-3833bf259582,request,0,0,0,0,758,2168,2108,1,0
44bdb48a-73c7-4017-b425-c8badbe3e719,CNN.,1,1,1,0,771,2168,1,1,0
b4184573-5ea4-482c-8e61-bdca4b67ac8c,Some,0,1,1,0,777,2168,1,1,0
bf7b5e81-c541-47d8-9d61-61832fefb076,documents,0,0,0,0,789,2168,1,4,0
e37e0b88-f95f-4454-8467-5870006db451,time,0,0,0,0,809,2168,1,1,0
2588b267-519f-4755-a105-5255d618bac9,several,0,0,0,0,822,2168,1,1,0
0603bda7-18c9-4682-af55-2370ef865478,top,0,0,0,0,830,2168,1,1,0
6c56dfec-5216-4a69-bd04-b5441c19e263,White,0,1,1,0,834,2168,1,1,0
7d5b8080-9ab2-4910-a962-672f04ffa54e,House,0,1,1,0,840,2168,1,1,0
0aa45976-827a-4228-986b-b9634b5b4f06,including,0,0,0,0,857,2168,1,2,0
56e9813b-feff-47b6-850f-f247e9768cf4,forced,0,0,0,0,892,2168,1,1,0
c48b2a45-ae6e-40ab-89f0-a54c31a02b3d,testify,0,0,0,0,902,2168,1,1,0
eef261d1-7043-4ff8-ae25-769a0dfdbaa8,public,0,0,0,0,923,2168,1,1,0
91ce61ba-0d67-4d51-913a-408edc096d10,decades,0,0,0,0,934,2168,1,2,0
2f1e4349-c604-442c-84f3-27f7fc278ab5,report,0,0,0,0,952,2168,1,1,0
db6f302d-1508-4071-b6c5-54c5c095f5fc,Starr,0,1,1,0,964,2168,1,2,0
249bbe0f-5edd-40f6-9058-f6d292cb614e,provided,0,0,0,0,970,2168,1,1,0
63134006-193f-4ddd-8fb5-3adc19c3f548,Congress.,0,1,1,0,982,2168,1,1,0
ed3c7d9f-0706-4c46-b259-1a619116e601,But,0,1,1,0,992,2168,1,1,0
15a3344f-2916-4097-a6c1-2c5b1cb877fd,many,0,0,0,0,996,2168,1,1,0
9f553886-90de-4dad-88a4-619d637b1eba,filings,0,0,0,0,1008,2168,1,1,0
3d054633-3206-4c6a-9db4-44352f9ced67,remained,0,0,0,0,1016,2168,1,1,0
bf283bf1-b89a-44a0-a4e7-e26ee5e57747,sealed,0,0,0,0,1025,2168,1,3,0
f5efc611-b488-4445-aba6-e2a6cfabe3d6,federal,0,0,0,0,1039,2168,2108,3,0
ea2446c6-19a4-49e6-98a5-8a0715d224ff,courthouse,0,0,0,0,1068,2168,1,1,0
2715a92a-830b-4108-9134-ddf049ab2998,currently,0,0,0,0,1084,2168,1,1,0
c304568f-e4b1-4631-ade1-793a035eb3fc,hosts,0,0,0,0,1094,2168,1,1,0
1164ce12-88bc-4faf-9482-28444a1eb49f,similar,0,0,0,0,1102,2168,1,1,0
0c9b81e8-9822-4270-9ca0-5a5318fc47ff,sprawling,0,0,0,0,1114,2168,1,1,0
0b146034-6485-411d-be93-d7179c161195,grand,0,0,0,0,1124,2168,1,6,0
0bd772b6-6140-4047-9e7b-5b16ef8d8220,jury,0,0,0,0,1130,2168,1,6,0
c8adfc7a-d77d-4748-96c4-8b7ed9744b71,investigation,0,0,0,0,1135,2168,1,4,0
b07afbdc-244a-45ce-9ed8-4c1b93c3454a,campaign,0,0,0,0,1158,2168,1,2,0
748af3ea-ec19-44f4-ac36-b1a7db63c879,President,0,1,1,0,1170,2168,1,2,0
f6e955f3-48ac-4c34-8539-767ea6a72d2c,Donald,0,1,1,0,1180,2168,1,1,0
b96bb103-f326-4238-8bb2-f5a04bb94a91,Trump,0,1,1,0,1187,2168,1,4,0
1bfe2592-2a05-4f90-8d3a-ed200001588e,.,0,0,0,0,1192,2168,1,3,0
18ceb6bc-a390-491d-8729-1357d89b2b8e,CNN,1,1,1,0,1195,2168,1,4,0
8e951579-e8cd-4fbf-a22a-dcf2fe22a283,argued,0,0,0,0,1199,2168,1,1,0
