id,name,start_position,end_position,frequency,file_name,label
c3c6ef5e-eaea-4e59-9945-92d1f3c06e58,brings,16,21,1,train.txt,0
3d33905e-c863-4b20-9254-cc744c39b06e,in,18,19,11,train.txt,0
c671bc27-87e6-4e63-88cf-f31360fa63b5,a,26,26,5,train.txt,0
d6f1a388-62a5-49e2-9875-be7fc9e77dbf,box,44,46,4,train.txt,0
13c4a7d6-fe72-43ad-89eb-a576478f1839,office,48,53,4,train.txt,0
b83137bf-ae3c-4eb2-a406-a8798305159d,weekend,55,61,2,train.txt,0
fef795bc-ec2c-4c2c-a7c6-ceb24eee04e8,Updated,63,69,1,train.txt,0
b66904bf-0b56-47b5-823e-f0d1fdc779fa,PM,77,78,1,train.txt,0
d18b034a-fd0c-4164-910c-d72a225ba36c,Mon,84,86,1,train.txt,0
b3b7efc7-d6e5-43ed-8fa4-b3302f6ab079,February,88,95,1,train.txt,0
3275cb4f-af66-43fe-9b03-acc1610bfaf2,New,106,108,1,train.txt,0
6e67095e-6733-4603-8bdd-b9f5bff74fd6,York,110,113,1,train.txt,0
5a8d9d23-a285-41e0-919e-c3c5222ffd7a,All,128,130,1,train.txt,0
3f285a03-8720-4f71-829e-babfae5a15b4,hail,132,135,1,train.txt,0
1885b9f4-dc65-4e13-b245-956035dd8fbc,the,137,139,21,train.txt,0
0d13f1b2-0b8c-46f8-9d29-80ab3d235d86,king.,141,145,1,train.txt,0
06d862f6-1666-45d2-bb88-8273026d6bdb,first,174,178,1,train.txt,0
aad50891-0fce-47b5-a877-2fb6a4a8b203,film,180,183,7,train.txt,0
4e67fa04-e7e6-4ea0-8fd6-bbfc367419fc,directed,185,192,1,train.txt,0
620b22d0-e34f-41e2-8bd4-218d570733c6,by,194,195,2,train.txt,0
e646f4bb-182e-43cb-bfe3-4e984cf3701e,an,197,198,7,train.txt,0
707ec474-7a06-4424-9dfc-16e4c6e7796e,brought,218,224,3,train.txt,0
f160c7de-a8ba-48d0-b168-f5515c13b7ff,in,226,227,11,train.txt,0
0fd22e29-ba48-48dc-bf06-6eb720a63a55,an,229,230,7,train.txt,0
6630d1e7-7635-4469-97d4-7fc5fef50d02,estimated,232,240,1,train.txt,0
b149be49-03a1-423f-b6df-f4934f6b0f99,million,249,255,5,train.txt,0
260c4b21-f869-440c-a53a-de1b9261b272,for,257,259,9,train.txt,0
595e1714-3c52-4b00-8b08-5434c5add659,its,261,263,1,train.txt,0
7202c10b-8505-4e45-b346-5cad20d023ce,debut,275,279,1,train.txt,0
b480af26-ca07-4462-8e3d-84a8f0858d77,in,281,282,11,train.txt,0
f71d8918-5bbe-437b-a5c3-9f03688c459e,North,284,288,1,train.txt,0
9d74d488-4f35-451b-ab34-3bb4d11bb9f4,America,290,296,1,train.txt,0
0a254132-3bea-4d49-b4e0-c356a58583b2,this,298,301,1,train.txt,0
042e25b1-130b-46cc-a38c-6382b4f6cb69,weekend.,303,310,3,train.txt,0
8bda22fc-96eb-447b-9a45-a38c9668a2b2,the,319,321,21,train.txt,0
a6d2c93a-ac4e-4505-aaf8-8f6189ba180b,fifth,323,327,1,train.txt,0
cc01ba7c-fc4a-4d83-ba01-4f38f0376f93,biggest,329,335,2,train.txt,0
c5b12995-d886-409a-a068-be6aab9b8de8,opening,337,343,6,train.txt,0
56379e08-79d8-4b23-859e-c6b44188e245,of,345,346,8,train.txt,0
ccea20a2-0b63-4ad7-a502-c870edd38d13,all,348,350,2,train.txt,0
55dca179-fa4c-492e-b393-bacf031a611e,time.,352,356,1,train.txt,0
a0cfe30f-d818-4f70-af50-39f3f060d99c,The,359,361,5,train.txt,0
618f7c47-ac70-4ea9-83f6-12224730ee0e,opening,363,369,6,train.txt,0
3888cd53-80e3-4243-a1a5-7c7dea91ca37,for,371,373,9,train.txt,0
cccee7c9-fb85-43b8-9e88-632433373f92,the,375,377,21,train.txt,0
